,Discounts Names
"gran remate_hogar, magefesa 25 %",5
"juguetes 40 sep, Mattel 50",5
"CyberJugueteriaOct50, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, CyberJugueteriaOct30, Open box",5
"babygangazo uppa, Envio Gratis Dia sin Iva, Dia sin Iva - Ropainterior-zap 9, Dto Belleza 40 Dia sin Iva",5
"Bebesit fantastico, Tienda 89",5
"BW 2018-11 50%, BW 2018-11 Hogar 40%, BW 2018-11 30%",5
"Ropa 30 babypalu, Cyber Ropa, Tomme Tippee, Open box",5
"40% loco de la ganga, loco ganga_fds1 mascotas",5
"Envio Gratis Dia sin Iva, DiaSinIva - MuñecasyMuñecos, DiaSinIva- Juegos de tablero, DiaSinIva- Canicas",5
"Envio Gratis Dia sin Iva, DiaSinIva - MuñecasyMuñecos, DiaSinIva- Rompecabezas, DiaSinIva- Juegos de tablero",5
"Envio Gratis Dia sin Iva, Dia sin Iva- Pijamas 2, DiaSinIva- Sets de Construccion, DiaSinIva- Juegos de tablero, babygangazo uppa",5
"Envio Gratis Dia sin Iva, Dia sin Iva -Mamelucos 5, Dia sin Iva-Conjuntos 1, babygangazo uppa",5
"Black Friday 30 Little Me, Avent y Dr Bowns 35% Black Friday 16/05/2019",5
"Envio Gratis Dia sin Iva, Dto 30 Jugueteria Dia Sin Iva, Dia sin Iva-utilesescolares, DiaSinIva- Canicas, Open box completa 2",5
"Fin Aniversario 40 Deportes- Ropa- Bebe, Tienda 9",5
"Hot Sale -40%, Hot Sale -25%",5
"Cyber lunes Carters y little me 30%, cyber Lunes 30% marca, Cyber Lunes 30% colecciones",5
"Aniversario  clothes 2, Little me, Drop-Clothes, Camisetas primer precio",5
"DESCUENTO TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Mega Bloks 30%",5
"Electro-Hogar 30% HD, Dias de locuras 30 Escolar - Deportes",5
"Clothes infinito 50, Little me, Aniversario  clothes 2",5
"Kioskos tiendas, Belleza40locofds3",5
"Navidad 50%, BF jugueteria 30%, BF ropa 30%",5
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Pvt Insolita Mattel 40, Pvt Insolita Mattel 50, DtosMattel30del27Maral15Abr",5
"40 burts bees, Toma hogar - saldos continente, 40 vogue",5
"Envio Gratis Dia sin Iva, DiaSinIva- Rompecabezas, DiaSinIva- Juegos de tablero, DiaSinIva- Animales de Juguete",5
"cyber_electro oster 40%, Kioskos tiendas, cyber_electro 40%",5
"CyberJUG40%, CyberJugueteria30%Juegosdemesa",5
"Envio Gratis Dia sin Iva, Dia sin Iva- Camisetas 3, Dto 30 Jugueteria Dia Sin Iva, DiaSinIva- Canicas, DiaSinIva- Juegos de tablero",5
"Licencias 6 al 11 de noviembre, Free Shipping all store, Carter´s Black friday",5
"zoom cyber, bium 40 aniversario 2020",5
"Dcts 40% Cyber- fg, Dcts 35% Cyber - Cuisinart, Vestuario Todo Cyber Junio 50% 2019",5
"Vitrinas, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",5
"Ropa 30 babypalu, Licencias",5
"Pvt Insolita Mattel 70, dia de la madre bebe 2",5
"Aniversario Hogar 30%, Aniversario Hogar 40%",5
"TC PG 10% Permante 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Madrugon 2018-12 30%, Madrugon 2018-12 40%",5
"40jugBlack, Marcas cuarenta black, 30jugBlack",5
"stilotex licencias deportes cyber, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Asturias 40 Escolar TDA, Belleza y alimentos 40 5 al 11 aniversario",5
"Pets importado esenciales, bb gangazo_hogar 30%",5
"caida loco bebe cyber 30%, LibrosSinFronteras30, HOGAR GENERAL 1 30%",5
"Dto 30 Jugueteria Dia Sin Iva, Envio Gratis Dia sin Iva, DiaSinIva- Juegos electronicos y Videojuegos",5
"Marcas cuarenta black, Stilotex Bebe black, Teteros y chupos dias de locura",5
"blacki_ 40%oster, Free Shipping all store, Blacki_Hogar 40%, Belleza30Black",5
"toma de hogar dr browns , munchkin30, bumikins 30, chicco joie toma hogar",5
"BiB 2018-11 General 40%, BiB 2018-11 General 30%, BiB 2018-11 General 20%",5
"liquidacion bebe y deportes aniversario, bium 40 aniversario 2020, jugueteria 40 5 al 11 aniversario",5
30% toma hogar,5
"stilotex deportes 40%, Importados12al16dic",5
"Marcas en firme Cyber, CyberJugOct30",5
"Envio Gratis Dia sin Iva, papa_hogar 25%",5
"Cumpleaños deportes 30%, TC PPGG Cumpleaños 2018, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Cumpleaños bebe 30%, Cumpleaños bebe 20%",5
"Importados308al31may, hasbro20",5
"Open box, baby paluza bium y dr brows, Cyber continente, Cyber Ropa, Ropa 30 babypalu",5
"Hogar General 40%, Fantasia 50%, Cyber30jugueteria, HOGAR GENERAL 1 30%",5
"dia de la madre dr browns 30, dia de la madre bebe, madresita_electro 30%",5
Gran Remate 2019-01 20%,5
"chicco 30% octubre, Toral",5
"aniversario fds_hogar 40%, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Congrupo 40 Aniversario",5
"Faltantes50%, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",5
"40Dto13al17jug, 50Dto13al17jug, mattel20del13al17, hasbrofull12al16dic",5
"BabyBoomJug30, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, mattel20del13al17, 40Dto13al17jug",5
"CG II - 2018 25%, CG II - 2018 Tarjetas Colaptria 10%",5
"fisher 35% hot sale, Hot sale sept 30%, Hot sale sept 40%",5
"Black Friday Priori y HP 40 20191605, Black Electro Belleza 40%  Conair,Gama,Babyliss,Whal,Remington, DTOS 30 BLACK 15052019",5
"Envio Gratis Dia sin Iva, Dia sin Iva-Conjuntos 1, Dia sin Iva- Camisetas 3, Dia sin Iva - Bodies 4",5
"Priorimania, Bebesit fantastico, Open box",5
"Oster, Remington, whal 40% cumpleaños, Cumpleaños ropa 30%",5
"Cyber stilotex 25, Open box",5
"Pets importado, 10% OFF Post Dia sin Iva Caso 1, Carters- Sin precios especiales, Pets alimentos",5
"Cyber Lunes 2018 Oster 40%, Cyber lunes Carters y little me 30%",5
"Envio Gratis Dia sin Iva, Dia sin Iva- Pantalones 8, Dia sin Iva- Camisetas 3, babygangazo uppa",5
"CG II-2018 40%, CG II - 2018 -  30%",5
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, gran remate_hogar",5
"Little me carters Semana Santa 30%, TC PPGG 10% Permante, Semana Santa 30%",5
"Cyber lunes Carters y little me 30%, TC PPGG 20% adicional CG 2018, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, CG BUJ 40%, cyber Lunes 30% marca",5
CG II - 2018 Fifa,5
"CYBER GANGA 30%, DESCUENTO TARJETA DE CRÉDITO PEPE GANGA  CL I 2017 COLPATRIA 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Cyber Ganga Suben a 30%",5
"FDS de locura Colpatria 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Fin de semana de locura, FDS de locura Colpatria regular 001",5
"Envio Gratis Dia sin Iva, DiaSinIva- Juegos de tablero, Dto 30 Jugueteria Dia Sin Iva, DiaSinIva- Canicas, Dia sin Iva- Pantalones 8, Dia sin Iva- Pijamas 2, Dia sin Iva- Camisetas 3",5
"Dcts 40% Cyber- fg, Tienda 9",5
"Kaid electro 30%, Electrodomésticos 40%",5
"CyberJugueteriaOct30, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Open box",5
"caida loco toral 30% cyber, Hogar General 40%, caida  loco (chicco, redicol , multim,dimark, bium)",5
"madresita_electro 30%, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, DKT30madres",5
"Increíble navidad 30%, Toma Baby universe 30%",5
"caida  loco (chicco, redicol , multim,dimark, bium), Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, caida loco bebe cyber 30%",5
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Pets importado esenciales",5
"Open box, Aniversario Motorola 25 %",5
"Fisher Ropa, Carters- Sin precios especiales, Drop-Ropa",5
"jugueteria 40 5 al 11 aniversario, liquidacion bebe y deportes aniversario, Fisher Ropa",5
"Envio Gratis Dia sin Iva, DiaSinIva - MuñecasyMuñecos, Dia sin Iva - Ropainterior-zap 9",5
"Vacaciones Julio 30%, bebesit, graco y prinsel julio 2019",5
"Envio Gratis Dia sin Iva, DiaSinIva - MuñecasyMuñecos, DiaSinIva- Juguetes con ruedas diseñados como vehiculos, DiaSinIva- Muñecos de Peluche y trapo, Dto 30 Jugueteria Dia Sin Iva, Dia sin Iva-utilesescolares",5
"BG-2018 25%, Promo Mundial 30%",5
"Todos los Juguetes 2018-12 40%, Todos los Juguetes 2018-12 TC PG Colpatria 20% 001, Todos los Juguetes 2018-12 30%",5
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Faltantes50%",5
"fds2_electro, Teteros y chupos dias de locura",5
"Escolar Aniversario, Open box, Promo 40% jugueteria Alargue",5
"50% Juguetes Ref Seleccionadas, Kioskos tiendas",5
"Electro-Hogar 40% HD, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Carter´s happy days",5
"CyberJugueteriaOct30, Tiny love - Fisher price, Fisher price 30",5
"Fisher Ropa, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",5
"Ropa 30 babypalu, Kioskos tiendas, Baby paluza 50",5
"stilotex 40%, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",5
"DESCUENTO TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Gran Remate 40%, Gran Remate 25%, Gran Remate 30%",5
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, DKT30, caida  loco (chicco, redicol , multim,dimark, bium)",5
"Bebesit fantastico, Kioskos tiendas, Priorimania",5
"Diadelniñojugueteria20, DKT30",5
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Importados12al16dic, hasbrofull12al16dic",5
"Hogar General 40%, HOGAR GENERAL 1 30%, semana santa_electrohogar",5
"Drop-Ropa, Ropa 50",5
"Baja rotacion, Asturias 30% 18 al 31",5
"Solutions2Go20%, Promo 40% jugueteria Alargue",5
"CG II - 2018 Tarjeta Pepe Ganga Colpatria 001, CG II-2018 25%, CG II-2018 30%",5
"Peluches 40%, Open box",5
"40Dto13al17jug, TARJETAS COLPATRIA  -10% ADICIONAL, hasbrofull12al16dic, Importados12al16dic, Cybersanta_30%",5
"Cyber Ganga Suben a 30%, DESCUENTO TARJETA DE CRÉDITO PEPE GANGA  CL I 2017 COLPATRIA 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Ropa -30% Baby Gangazo",5
"Open box completa 2, Hasta Agotar existencias 50%",5
"Jugueteria 50 Cyber, Jugueteria 40 Cyber",5
"Dto 30 Jugueteria Dia Sin Iva, Envio Gratis Dia sin Iva, Dia sin Iva-utilesescolares, DiaSinIva- Juguetes con ruedas diseñados como vehiculos, DiaSinIva- Canicas, Dia sin Iva- Camisetas 3",5
Madrugon 2018-12 25%,5
"Belleza 30 toma hogar, Belleza 50 toma hogar, Belleza 40 toma hogar",5
"Envio Gratis Dia sin Iva, DiaSinIva- Juegos electronicos y Videojuegos, DiaSinIva- Juegos de tablero, Dto 30 Jugueteria Dia Sin Iva, DiaSinIva- Canicas",5
"blacki_ 40%oster, happy days ropa, Hora del baño 30",5
"OSTER PRE ANIV, Aniversario Elector Gama",5
"Cyber30jugueteria, semana santa_electrohogar, Hogar General 40%",5
"HOGAR: MANO DE OSO 20%, HOGAR GENERAL 1 30%, hogar_magefesa",5
"Free Shipping all store, Carter´s Black friday, Open box",5
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Aniversario  clothes 2, bebe 1 aniversario semana bebe",5
CyberS_30%,5
"aniversario fds_hogar, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",5
"Dias de locuras 30 Escolar - Deportes, 30jugMAD",5
"Dcts 40% Cyber- fg, CyberJUG40%, CyberJUG50%",5
"babygangazo uppa, Envio Gratis Dia sin Iva, Dia sin Iva - Bodies 4, DiaSinIva- Juegos de tablero",5
"dia del niño dimark 30%, Open box completa 2",5
"CyberJUG30%, Cyber chicco 40%",5
"Baby Palooza 2018-10 50%, Baby Palooza 2018-10 70%, Baby Palooza 2018-10 40%",5
"Marcas cuarenta black, Free Shipping all store, stilotex  40 % black friday",5
"Envio Gratis Dia sin Iva, DiaSinIva- Juegos de tablero, MattelBabyGangazo30, DiaSinIva- Juguetes con ruedas diseñados como vehiculos",5
"20jugMAD, 40jugMAD",5
"ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, kisses infantoys 30%",5
"Towels, Kioskos tiendas",5
"Hot Sale 60%, Descuento Tarjetas Colpatria Hot-Sale 1 2017",5
"CyberJugueteriaOct50, CyberJugueteriaOct30, Open box",5
"Envio Gratis Dia sin Iva, Dia sin Iva- Camisetas 3, Dia sin Iva-Conjuntos 1, DiaSinIva- Juegos de tablero",5
"Envio Gratis Dia sin Iva, Dia sin Iva -Mamelucos 5, DiaSinIva- instrumentos musicales de juguete, Dia sin Iva-Conjuntos 1, Dia sin Iva- Pijamas 2",5
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Envio Gratis Dia sin Iva, Dia sin Iva- Pantalones 8, Dia sin Iva- Camisetas 3, Dia sin Iva- Pijamas 2",5
"Envio Gratis Dia sin Iva, DiaSinIva- Juguetes con ruedas diseñados como vehiculos, DiaSinIva- Rompecabezas, DiaSinIva- Juegos electronicos y Videojuegos, DiaSinIva- Canicas",5
"50% Juguetes Ref Seleccionadas, Escolar Aniversario",5
"Open box completa 2, Saldos fisher price",5
"Escolar Aniversario, LOL40, Peluches 40%",4
"Pepe Ganga Colpatria 20%, Envio Gratis Dia sin Iva, DiaSinIva- Juegos electronicos y Videojuegos 2",4
"Pepe Ganga Colpatria 20%, Envio Gratis Dia sin Iva, DiaSinIva- Juguetes con ruedas diseñados como vehiculos 2, DiaSinIva- Sets de Construccion 2",4
"Envio Gratis Dia sin Iva, DiaSinIva - Cafeteras y teteras, electrohogar_cyber",4
"DiaSinIva - aumento % electro, Pepe Ganga Colpatria 20%, Envio Gratis Dia sin Iva, DiaSinIva - Aparatos electricos para cocinar, DiaSinIva- Juegos de tablero 2",4
Baby gear,4
"CyberJugueteriaOct30, CyberJugueteriaOct50, Cyber Redicol",4
"Ropa 40%, Loco de la ganga Bbe, Open box completa 2",4
"Envio Gratis Dia sin Iva, DiaSinIva- Sets de Construccion, Dia sin Iva - Bodies 4, Dia sin Iva-Conjuntos 1",4
"stilotex licencias mayo 30%, Baja rotacion",4
"babygangazo uppa, Envio Gratis Dia sin Iva, Dia sin Iva - Bodies 4, Dia sin Iva- Pantalones 8, Dia sin Iva- Camisetas 3",4
"Cumpleaños bebe 20%, Cumpleaños bebe 60%",4
"Descuento20Cyberesc, Pepe Ganga Colpatria 20%, Envio Gratis Dia sin Iva, DiaSinIva - Aparatos electricos para cocinar, Open box completa 2",4
"semana santa_electrohogar, caida loco zoom 30% cyber, Cyber30jugueteria",4
"ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, TC PPGG Madrugón 30 001",4
"Pepe Ganga Colpatria 10% 001, Ropa 40%",4
"50% mayo 2020 bebe, renuevaHogar_30%, toma hogar zoom 30%",4
"Tiny love - Fisher price, Kioskos tiendas, Open box",4
"Descuento30Cyberesc, Envio Gratis Dia sin Iva, Camisetas primer precio, Dia sin Iva- Camisetas 3 ok",4
"OSTER PRE ANIV, jugueteria 40 5 al 11 aniversario, aniversario 1 fds_hogar",4
"Cyber Redicol, chicco 30% octubre",4
"Open box completa 2, Diadelniñojugueteria20, LibrosSinFronteras20",4
"cyber_electrohogar 15%, Envio Gratis Dia sin Iva, DiaSinIva - Aparatos electricos para cocinar, DiaSinIva - Articulos actividades pedagogicas 2",4
"Baja rotacion, 30 bium toma hogar",4
"Skip Hop, Marcas en firme Cyber",4
"lego40%, Play go 40%, LOL40",4
"Cyber chicco 40%, CyberJUG40%",4
"Pepe Ganga Colpatria 10% 001, Descuento MP - MC - Black, Free Shipping all store, Blacki_Hogar 40%",4
"Camisetas primer precio, Little me",4
"jugueteria 40 5 al 11 aniversario, Descuento 20 planeta",4
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Diadelniñojugueteria20, Diadelniñojugueteria30",4
"10% OFF Post Dia sin Iva Caso 1, Envio Gratis Dia sin Iva, DiaSinIva- Juegos electronicos y Videojuegos 2, DiaSinIva- instrumentos musicales de juguete 2",4
"30 DTO EXCLUSIVO ONLINE 13052019, Kioskos tiendas",4
"hasbro20, Importados308al31may",4
"Envio Gratis Dia sin Iva, Dia sin Iva-Conjuntos 1, DiaSinIva - MuñecasyMuñecos",4
"CyberJugOct30, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, CyberJugOct60",4
"Baby paluza 50, Open box, Toral",4
"Open box, arrurru",4
"10% OFF Post Dia sin Iva Caso 1, Envio Gratis Dia sin Iva, electrohogar_cyber, DiaSinIva - Aparatos electricos para cocinar",4
"BiB 2018-11 General 30%, BiB 2018-11 General 40%, BiB 2018-11 Juguetes 30%",4
"envío gratis Bium baby gangazo, bb gangazo_hogar 30%",4
"caida loco palmrs 30%, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",4
"Envio Gratis Dia sin Iva, DiaSinIva - MuñecasyMuñecos 2, Jugueteria 25 Cyber",4
"CGI bebe y escolar 30%, CGI ropa 30%, CGI juguetes 30%",4
"Pets importado - Drop, aniversario 2 fds_hogar",4
"Open box, CyberJugOct30, Cyber Dimark",4
"Dias de locura Ropa, FDSDLJug30%",4
"Asturias 30% 18 al 31, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",4
"Hasta Agotar existencias 50%, Mattel307al24May",4
"Cyber Redicol, Kioskos tiendas, Cyber Dimark, Toral",4
"Importados50%Sep, Licencias, Open box",4
"Dcts 40% Cyber- fg, CyberJUG30%, Munk 40% Junio Cyber",4
"Pepe Ganga Colpatria 20%, Envio Gratis Dia sin Iva, DiaSinIva Deportes - Cascos listo, DiaSinIva Deportes - balones listo",4
"CGI ropa 30%, TC PPGG 10% Permanente 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",4
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Divertimente30",4
"10% OFF Post Dia sin Iva Caso 1, Envio Gratis Dia sin Iva, DiaSinIva - Planchas Electricas, DiaSinIva - secadores electricos",4
"electrohogar_cyber, Envio Gratis Dia sin Iva, DiaSinIva - Hornos electricos, Descuento20Cyberesc, DiaSinIva - Aparatos electricos para cocinar",4
"Kioskos tiendas, CyberJugOct40",4
"Descuento20Cyberesc, Envio Gratis Dia sin Iva, DiaSinIva - Aparatos electricos para cocinar, bebe y deportes 30 cyberjulio",4
"Toys days 30 continente, Toys days 50 mattel",4
"stilotex licencias deportes cyber, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, jugueteria 40 5 al 11 aniversario",4
"CyberJUG30%, avent 40% cyber junio",4
"Cyber Lunes 30% colecciones, TC PPGG 20% adicional CG 2018, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, CG BUJ 40%, cyber Lunes 30% marca",4
"Dias de Locura Deportes- Escolar, Dias de locuras 30 Escolar - Deportes",4
"Cyber Hogar 30%, Envio Gratis Dia sin Iva, DiaSinIva - aumento % electro, DiaSinIva - Aparatos electricos para cocinar",4
"Envio Gratis Dia sin Iva, DiaSinIva - Planchas Electricas, Dia sin Iva- Pantalones 8 ok",4
"Envio Gratis Dia sin Iva, DiaSinIva- Juegos de tablero, Dia sin Iva- Pantalones 8, Dia sin Iva-Conjuntos 1",4
"Perfumes25Black, Descuento MP - MC - Black",4
"Envio Gratis Dia sin Iva, DiaSinIva - MuñecasyMuñecos 2, Pets alimentos, Dia sin Iva-Mascotas",4
"50Dto13al17jug, cyberS_40%",4
"Envio Gratis Dia sin Iva, DiaSinIva- Rompecabezas 2, Jugueteria 20 Cyber",4
"Cyber lunes Carters y little me 30%, Cyber Lunes 30% colecciones, CG BUJ 50%",4
"Caida Toma H- 40% 15 - 28 jul, 30% Oster Ref Sel",4
multiimportaciones,4
"Envio Gratis Dia sin Iva, DiaSinIva- Sets de Construccion, DiaSinIva- Rompecabezas, DiaSinIva- Juegos de tablero",4
"Semana de Higiene 25%, My baby club 10%",4
"Pepe Ganga Colpatria 10% 001, Master Card - Mercado Pago -5% 2019-03, LOCOFINAL-40-1",4
"Hot Sale 40%, Descuento Tarjetas Colpatria Hot-Sale 1 2017, Hot Sale 50%, Hot Sale 30%",4
"caida loco zoom 30% cyber, Cyber30jugueteria, LibrosSinFronteras30",4
"electrohogar_cyber, 10% OFF Post Dia sin Iva Caso 1, Envio Gratis Dia sin Iva, DiaSinIva - Hornos electricos",4
"Ropa70babypalu, CyberJugOct30",4
"Cyber lunes Carters y little me 30%, CG BUJ 40%, Cyber Lunes 30% colecciones",4
"Open box completa 2, Envio Gratis Dia sin Iva, Dia sin Iva- Camisetas 3, Dia sin Iva- Pantalones 8, Dia sin Iva -Vestidos10",4
"Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Motorola - Huggies bebe black",4
"HOGAR: MANO DE OSO 20%, Hogar General 40%",4
"DTOS 30 BLACK 15052019, Avent y Dr Bowns 35% Black Friday 16/05/2019",4
"Envio Gratis Dia sin Iva, DiaSinIva - Aparatos electricos para cocinar, Descuento20Cyberesc, DiaSinIva - Planchas Electricas",4
"Envio Gratis Dia sin Iva, Dia sin Iva - Bodies 4 ok, DiaSinIva- Sets de Construccion 2",4
"50 Jugueteria Aniversario Permanente, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, 40 Jugueteria Aniversario FDS 2",4
"Envio Gratis Dia sin Iva, Dia sin Iva- Pantalones 8, Dia sin Iva - Ropainterior-zap 9, babygangazo uppa",4
"Pepe Ganga Colpatria 20%, Envio Gratis Dia sin Iva, DiaSinIva - hornos Microondas",4
"Mattel 25% GR, Patinetas electricas",4
"40 Jugueteria Aniversario FDS 2, Pets 40% Aniversario 1",4
"bebe y deportes 30 cyberjulio, Pepe Ganga Colpatria 20%, Envio Gratis Dia sin Iva, DiaSinIva - planchas para cocinar, Jugueteria 50 Cyber, DiaSinIva - MuñecasyMuñecos 2",4
"Blacki_Hogar 40%, Kioskos tiendas",4
"CG II-2018 25%, CG II - 2018 Tarjeta Pepe Ganga Colpatria 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",4
"cyber_electro oster 40%, CyberJugueteriaOct50",4
"Envio Gratis Dia sin Iva, DiaSinIva - Aparatos electricos para cocinar, Jugueteria 10 Cyber, DiaSinIva - MuñecasyMuñecos 2",4
"BF jugueteria 30%, TC PPGG 10% Permanente 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, BF ropa 30%",4
"stilotex licencias mayo 30%, Envio Gratis Dia sin Iva, DiaSinIva- Muñecos de Peluche y trapo, Dia sin Iva-Morrales",4
"Open box, Accesorios de bebe, Dias de Locura Bebe 30 o 40",4
"CyberJugOct30, Cyber Dimark",4
"Envio Gratis Dia sin Iva, Dia sin Iva- Pijamas 2 ok, Dia sin Iva -Vestidos10 ok",4
"blacki_electro 30%, Kioskos tiendas",4
"40Dto13al17jug, mattel20del13al17, Importados12al16dic",4
"Open box, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Deportes 40 Cyber",4
"BW 2018-11 30%, TC PPGG 10% Permante 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, BW 2018-11 40%",4
"Belleza y alimentos 40 5 al 11 aniversario, aniversario 1 fds_hogar, zoom cyber",4
"bebesit, graco y prinsel julio 2019, Tienda 89",4
"Joie y chicco 30 %, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA",4
"cyber_electro oster 40%, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Kioskos tiendas, cyber_electro 40%",4
"Kaid electro 30%, TC PPGG 10% Permante 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Electrodomésticos 40%",4
"BiB 2018-11 General 40%, BiB 2018-11 Juguetes 30%, BiB 2018-11 General 30%",4
"bium y chicco, Tienda 9",4
"10% OFF Post Dia sin Iva Caso 1, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Aniversario Clothes 1",4
"Belleza 30 toma hogar, Belleza 40 toma hogar, Flete Gratis Fantasia",4
"Dto 30 Jugueteria Dia Sin Iva, Envio Gratis Dia sin Iva, DiaSinIva- Canicas, DiaSinIva - MuñecasyMuñecos, Dia sin Iva- Pantalones 8",4
"increible bium, Pepe Ganga Colpatria 10% 001, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Importados50%Sep",4
"BW 2018-11 40%, CG 2018-11 TC PG 20% 001",4
"multimportaciones 30% cyber junio, Cyber chicco 40%",4
"Pepe Ganga Colpatria 20%, ENVIO GRATIS TARJETA DE CRÉDITO PEPE GANGA  COLPATRIA, Pets importado, Pets alimentos",4
"CyberJugOct30, Cyber Dimark, baby paluza bium y dr brows",4
"bebesit 40, Kioskos tiendas, 40jugBlack",4
